epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4094,1.66195,2.83965,1.3009,0.84886,0.16093,0.14474,0.08036,1.37377,1.44132,1.11938,0.00017447,0.00017447,0.00017447
2,62.4847,1.37639,1.37296,1.15817,0.84311,0.21543,0.21076,0.12666,1.24026,1.14675,1.0735,0.00034634,0.00034634,0.00034634
3,91.294,1.30146,1.2072,1.12318,0.74445,0.25755,0.25782,0.16091,1.16403,1.02878,1.03951,0.000514739,0.000514739,0.000514739
4,120.026,1.27105,1.13949,1.10902,0.60941,0.27469,0.279,0.17495,1.15947,1.00594,1.03246,0.000510378,0.000510378,0.000510378
5,148.719,1.24636,1.11308,1.09821,0.61623,0.30283,0.28116,0.18255,1.11859,0.9712,1.026,0.00050517,0.00050517,0.00050517
6,177.589,1.22851,1.07451,1.09184,0.50317,0.3442,0.28688,0.18212,1.13095,0.96079,1.02331,0.000499963,0.000499963,0.000499963
7,206.108,1.21288,1.05487,1.08374,0.54146,0.3153,0.2938,0.18745,1.14153,0.95537,1.02844,0.000494756,0.000494756,0.000494756
8,234.435,1.21482,1.04808,1.08299,0.57794,0.30679,0.29957,0.18986,1.15444,0.98435,1.02227,0.000489548,0.000489548,0.000489548
9,262.906,1.19731,1.01782,1.07077,0.7159,0.3015,0.32185,0.20523,1.12604,0.9419,1.01615,0.000484341,0.000484341,0.000484341
10,291.207,1.18347,1.00533,1.06664,0.50203,0.36543,0.33726,0.21486,1.11867,0.91674,1.01781,0.000479133,0.000479133,0.000479133
11,319.51,1.18297,0.99291,1.06547,0.59146,0.35329,0.32189,0.20861,1.11382,0.90847,1.02116,0.000473926,0.000473926,0.000473926
12,347.836,1.17644,0.97856,1.06138,0.73761,0.33557,0.3597,0.22773,1.11237,0.89172,1.00779,0.000468719,0.000468719,0.000468719
