epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2006,1.38962,1.76628,1.25763,0.69088,0.2905,0.27485,0.17771,1.11866,0.96993,1.04712,0.0701478,0.00331691,0.00331691
2,165.68,1.2032,1.04525,1.0856,0.56056,0.3791,0.35521,0.22872,1.11044,0.92781,1.02958,0.0401258,0.0066283,0.0066283
3,246.451,1.23806,1.0556,1.09255,0.62496,0.41138,0.36979,0.23724,1.15741,0.95472,1.05972,0.0100819,0.00991769,0.00991769
4,326.861,1.24824,1.02183,1.09659,0.64396,0.38924,0.39746,0.2488,1.19005,0.99205,1.06395,0.009901,0.009901,0.009901
5,407.152,1.22631,0.98938,1.09214,0.61866,0.34726,0.34439,0.21542,1.25082,1.23043,1.11565,0.009868,0.009868,0.009868
6,487.169,1.20065,0.96105,1.08594,0.54763,0.38779,0.38546,0.25509,1.09758,0.93693,1.0382,0.009835,0.009835,0.009835
7,567.52,1.17654,0.94458,1.08235,0.47641,0.3693,0.33132,0.20393,1.22198,1.01926,1.07155,0.009802,0.009802,0.009802
8,647.481,1.16661,0.93154,1.0759,0.46838,0.49332,0.44588,0.28287,1.10154,0.86845,1.03097,0.009769,0.009769,0.009769
9,727.62,1.14914,0.9072,1.07158,0.41767,0.49832,0.46048,0.30097,1.09051,0.85115,1.03401,0.009736,0.009736,0.009736
10,807.585,1.14201,0.89673,1.0666,0.63596,0.41789,0.4268,0.27799,1.07594,0.86451,1.02602,0.009703,0.009703,0.009703
11,887.669,1.12661,0.88915,1.06338,0.49512,0.45614,0.46159,0.30854,1.07783,0.85816,1.02737,0.00967,0.00967,0.00967
12,967.696,1.11216,0.86822,1.05792,0.38807,0.51726,0.43424,0.28093,1.08397,0.86914,1.02953,0.009637,0.009637,0.009637
13,1047.71,1.12081,0.86946,1.06403,0.50813,0.49928,0.48324,0.32218,1.06846,0.839,1.02119,0.009604,0.009604,0.009604
14,1127.76,1.09941,0.85688,1.05306,0.62673,0.48412,0.50564,0.32883,1.06024,0.83646,1.02116,0.009571,0.009571,0.009571
15,1207.9,1.09522,0.84838,1.05179,0.55191,0.52403,0.50108,0.32767,1.0941,0.83403,1.03334,0.009538,0.009538,0.009538
16,1287.76,1.08337,0.8446,1.04445,0.54622,0.43862,0.45905,0.30398,1.05773,0.82616,1.02334,0.009505,0.009505,0.009505
17,1367.66,1.08524,0.83405,1.05032,0.57994,0.42107,0.48159,0.31724,1.05337,0.8248,1.01852,0.009472,0.009472,0.009472
18,1447.46,1.07684,0.82187,1.04388,0.45529,0.56175,0.4936,0.32933,1.07194,0.83363,1.02517,0.009439,0.009439,0.009439
19,1527.32,1.06992,0.8161,1.04132,0.63202,0.5196,0.52133,0.34586,1.04259,0.80314,1.01659,0.009406,0.009406,0.009406
20,1607.45,1.064,0.80753,1.04041,0.43906,0.49492,0.4708,0.30857,1.06955,0.84486,1.02384,0.009373,0.009373,0.009373
21,1687.27,1.0589,0.80821,1.03697,0.52542,0.53228,0.50713,0.33707,1.04886,0.82176,1.02221,0.00934,0.00934,0.00934
22,1767.27,1.05015,0.79207,1.03617,0.59292,0.49001,0.50839,0.34748,1.0523,0.79905,1.02778,0.009307,0.009307,0.009307
23,1847.13,1.04633,0.79105,1.03443,0.53948,0.46831,0.46876,0.31224,1.03963,0.81248,1.02032,0.009274,0.009274,0.009274
24,1927.17,1.04764,0.78966,1.03405,0.60271,0.50618,0.48898,0.32371,1.02765,0.80428,1.02246,0.009241,0.009241,0.009241
25,2006.92,1.0436,0.79066,1.03539,0.51659,0.53994,0.49443,0.33123,1.04819,0.80639,1.02608,0.009208,0.009208,0.009208
26,2086.9,1.03876,0.78218,1.03099,0.58581,0.50814,0.51208,0.35077,1.03981,0.78415,1.01619,0.009175,0.009175,0.009175
27,2166.7,1.03145,0.77616,1.02748,0.42339,0.63671,0.505,0.34202,1.04439,0.79983,1.02502,0.009142,0.009142,0.009142
28,2246.7,1.029,0.76869,1.02575,0.60366,0.51986,0.53212,0.34947,1.02484,0.77538,1.01559,0.009109,0.009109,0.009109
29,2326.44,1.02546,0.76472,1.02446,0.49323,0.54502,0.54134,0.36519,1.02754,0.78328,1.01395,0.009076,0.009076,0.009076
30,2406.46,1.01596,0.75275,1.02286,0.53336,0.56679,0.5153,0.34051,1.04976,0.81286,1.03169,0.009043,0.009043,0.009043
31,2486.18,1.01408,0.75288,1.02425,0.52956,0.56575,0.5558,0.37676,1.02577,0.78874,1.0201,0.00901,0.00901,0.00901
32,2566.05,1.01301,0.74619,1.01614,0.54066,0.55427,0.52711,0.33825,1.06153,0.81997,1.02638,0.008977,0.008977,0.008977
33,2645.91,1.00591,0.74144,1.01558,0.52087,0.53657,0.52307,0.35169,1.0172,0.78178,1.01282,0.008944,0.008944,0.008944
34,2725.74,1.00729,0.73876,1.01891,0.48803,0.50171,0.50778,0.34478,1.00026,0.77102,1.01017,0.008911,0.008911,0.008911
35,2805.64,1.00114,0.73385,1.01762,0.50541,0.57325,0.541,0.37884,1.01081,0.75579,1.01543,0.008878,0.008878,0.008878
36,2885.5,0.99797,0.73347,1.01424,0.56203,0.51071,0.52658,0.35039,1.01811,0.77251,1.01653,0.008845,0.008845,0.008845
37,2965.36,0.99285,0.72992,1.01471,0.55258,0.56347,0.54045,0.37168,1.03225,0.76872,1.01926,0.008812,0.008812,0.008812
38,3045.12,0.99549,0.73098,1.01279,0.45158,0.54631,0.50969,0.35208,1.02228,0.76768,1.01576,0.008779,0.008779,0.008779
39,3124.88,0.99465,0.72657,1.01565,0.47142,0.57972,0.5122,0.35375,1.02622,0.78614,1.02746,0.008746,0.008746,0.008746
40,3204.54,0.98271,0.71532,1.01062,0.52499,0.58353,0.54826,0.37358,1.03122,0.75918,1.04088,0.008713,0.008713,0.008713
41,3284.19,0.98019,0.70759,1.00805,0.45658,0.54236,0.51938,0.35558,1.00737,0.74673,1.01348,0.00868,0.00868,0.00868
42,3363.86,0.98038,0.70806,1.00626,0.53385,0.52515,0.53893,0.37648,1.01928,0.76402,1.01111,0.008647,0.008647,0.008647
43,3443.66,0.97759,0.7051,1.00738,0.49208,0.60633,0.5545,0.37456,1.01251,0.75721,1.01438,0.008614,0.008614,0.008614
44,3523.41,0.97927,0.69892,1.00504,0.46339,0.55,0.52138,0.35065,1.02534,0.78387,1.02371,0.008581,0.008581,0.008581
45,3603.08,0.96959,0.69988,1.00618,0.57653,0.49515,0.55122,0.3724,1.00195,0.75774,1.00989,0.008548,0.008548,0.008548
46,3682.95,0.96759,0.69557,1.00562,0.5995,0.50296,0.54155,0.3704,1.00478,0.74975,1.02146,0.008515,0.008515,0.008515
47,3762.69,0.96148,0.68109,0.99745,0.61414,0.52306,0.54153,0.37822,1.01012,0.74923,1.01598,0.008482,0.008482,0.008482
48,3842.62,0.96578,0.68831,1.00518,0.57189,0.5536,0.56738,0.39243,0.9992,0.74779,1.01318,0.008449,0.008449,0.008449
49,3922.44,0.95454,0.68051,0.99606,0.58523,0.5532,0.57547,0.39482,1.00431,0.75591,1.01892,0.008416,0.008416,0.008416
50,4002.22,0.95686,0.67608,0.99988,0.52968,0.55796,0.5456,0.36554,1.03863,0.78017,1.03278,0.008383,0.008383,0.008383
51,4081.92,0.95121,0.67023,0.99445,0.53453,0.53595,0.54194,0.37281,1.00918,0.76785,1.02308,0.00835,0.00835,0.00835
52,4161.75,0.95104,0.6731,0.99756,0.58,0.54954,0.55553,0.38348,1.01088,0.75437,1.0268,0.008317,0.008317,0.008317
53,4241.39,0.94609,0.65893,0.99249,0.53262,0.52674,0.54554,0.37288,1.01703,0.76828,1.02685,0.008284,0.008284,0.008284
54,4321.24,0.94284,0.66159,0.9901,0.52773,0.55792,0.53327,0.3688,1.02477,0.77145,1.02499,0.008251,0.008251,0.008251
55,4400.86,0.93968,0.65924,0.99012,0.49286,0.57129,0.55207,0.38505,1.0222,0.76161,1.03088,0.008218,0.008218,0.008218
56,4480.67,0.94308,0.65841,0.99014,0.50172,0.52687,0.53457,0.37551,1.01526,0.7533,1.01605,0.008185,0.008185,0.008185
57,4560.26,0.93565,0.64883,0.98348,0.52677,0.54544,0.55445,0.38233,1.00733,0.74748,1.01678,0.008152,0.008152,0.008152
58,4639.81,0.93844,0.64805,0.98813,0.52374,0.51008,0.52262,0.36152,1.01321,0.76486,1.02557,0.008119,0.008119,0.008119
59,4719.59,0.92837,0.64447,0.98536,0.60675,0.52573,0.55275,0.38697,1.0138,0.74872,1.02707,0.008086,0.008086,0.008086
60,4799.28,0.93214,0.64016,0.98219,0.54102,0.53274,0.53009,0.36736,1.0334,0.76903,1.03615,0.008053,0.008053,0.008053
61,4879.08,0.91866,0.63323,0.97868,0.61554,0.55419,0.57826,0.3965,1.01445,0.75787,1.0245,0.00802,0.00802,0.00802
62,4958.83,0.91845,0.63485,0.98195,0.54046,0.51625,0.53005,0.36754,1.01569,0.75872,1.02748,0.007987,0.007987,0.007987
63,5038.68,0.91868,0.63016,0.978,0.62136,0.50762,0.53271,0.36515,1.00556,0.74218,1.02138,0.007954,0.007954,0.007954
64,5118.36,0.91246,0.62067,0.97577,0.50879,0.57424,0.54228,0.37968,1.00918,0.74608,1.02182,0.007921,0.007921,0.007921
65,5198.09,0.90921,0.62091,0.97543,0.53105,0.52266,0.52834,0.36288,1.01215,0.7529,1.02539,0.007888,0.007888,0.007888
66,5277.61,0.90994,0.61561,0.97622,0.51583,0.54318,0.52951,0.36603,1.02534,0.75192,1.03326,0.007855,0.007855,0.007855
