epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.8,1.79373,1.95283,1.57625,0.60826,0.30972,0.2793,0.1466,1.55196,1.11403,1.14107,0.0701053,0.00332164,0.00332164
2,222.435,1.48105,1.22176,1.28107,0.27888,0.40539,0.34411,0.19636,1.51018,1.07275,1.12192,0.0400833,0.00663301,0.00663301
3,331.14,1.47598,1.20152,1.26987,0.44341,0.40121,0.40412,0.22546,1.48816,1.06014,1.13254,0.0100393,0.00992238,0.00992238
4,439.212,1.48564,1.1908,1.27441,0.45867,0.37832,0.3728,0.2042,1.51224,1.13207,1.16375,0.009901,0.009901,0.009901
5,547.158,1.44669,1.14598,1.26073,0.33613,0.36813,0.29694,0.17154,1.56082,1.69209,1.20632,0.009868,0.009868,0.009868
6,655.11,1.40945,1.11062,1.23931,0.45166,0.4594,0.43423,0.2554,1.32879,1.15951,1.10293,0.009835,0.009835,0.009835
7,763.209,1.37479,1.0888,1.23292,0.4584,0.47476,0.43455,0.25322,1.38617,1.02722,1.12082,0.009802,0.009802,0.009802
8,870.86,1.35771,1.06336,1.22498,0.43231,0.4386,0.4238,0.25533,1.35028,1.13523,1.10506,0.009769,0.009769,0.009769
9,978.632,1.32707,1.0491,1.20648,0.40927,0.519,0.44881,0.26515,1.30899,0.99202,1.09138,0.009736,0.009736,0.009736
10,1086.56,1.31336,1.02968,1.20054,0.52332,0.43671,0.4906,0.28134,1.32962,1.03099,1.10922,0.009703,0.009703,0.009703
11,1194.52,1.29805,1.01818,1.19366,0.4458,0.56634,0.50699,0.30256,1.31456,0.97043,1.101,0.00967,0.00967,0.00967
12,1302.44,1.27852,1.00224,1.18608,0.57047,0.48452,0.48189,0.29083,1.31219,0.95952,1.08871,0.009637,0.009637,0.009637
13,1410.17,1.26984,0.99631,1.18551,0.43626,0.47016,0.45177,0.27149,1.32996,0.97366,1.10012,0.009604,0.009604,0.009604
14,1518.02,1.25553,0.98092,1.17806,0.54675,0.50318,0.49462,0.30646,1.25695,0.95271,1.0784,0.009571,0.009571,0.009571
15,1625.76,1.24116,0.97152,1.17147,0.43332,0.54131,0.49056,0.31104,1.25499,0.92915,1.07181,0.009538,0.009538,0.009538
16,1733.58,1.2355,0.96095,1.16909,0.5297,0.51806,0.4965,0.3052,1.28849,0.93394,1.08641,0.009505,0.009505,0.009505
17,1841.19,1.22335,0.95711,1.16387,0.50851,0.52005,0.49305,0.30729,1.23122,0.89174,1.06295,0.009472,0.009472,0.009472
18,1949.09,1.22497,0.95155,1.16263,0.47826,0.56855,0.51317,0.32405,1.24089,0.90776,1.06811,0.009439,0.009439,0.009439
19,2056.76,1.21146,0.93878,1.15578,0.51939,0.53473,0.53172,0.33752,1.18742,0.89832,1.05785,0.009406,0.009406,0.009406
20,2164.72,1.20586,0.93857,1.16096,0.52476,0.54962,0.537,0.34488,1.2204,0.90987,1.06705,0.009373,0.009373,0.009373
