epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.262,1.73028,1.82865,1.52564,0.43736,0.37594,0.3986,0.22343,1.40709,1.03407,1.07985,0.0700767,0.00332481,0.00332481
2,296.513,1.43112,1.14417,1.25597,0.46579,0.45471,0.45208,0.25149,1.54732,1.11026,1.12721,0.0400548,0.00663617,0.00663617
3,440.872,1.44521,1.13907,1.25106,0.39375,0.41984,0.37105,0.21166,1.43796,1.12725,1.11493,0.0100108,0.00992553,0.00992553
4,584.743,1.42847,1.1252,1.24423,0.41992,0.49853,0.42354,0.2483,1.36264,1.08554,1.11329,0.009901,0.009901,0.009901
5,728.225,1.38076,1.07197,1.22482,0.46525,0.52523,0.44836,0.23006,1.79955,1.11734,1.27798,0.009868,0.009868,0.009868
6,871.856,1.35295,1.04809,1.21504,0.44895,0.49735,0.43103,0.25757,1.29371,0.98544,1.08434,0.009835,0.009835,0.009835
7,1015.71,1.31684,1.00509,1.20056,0.42479,0.5181,0.43632,0.27443,1.2683,1.0114,1.08719,0.009802,0.009802,0.009802
8,1159.35,1.28307,0.97985,1.18435,0.42049,0.46593,0.45681,0.28572,1.26592,0.95246,1.08965,0.009769,0.009769,0.009769
9,1303.3,1.27158,0.96901,1.1823,0.41547,0.51809,0.45985,0.29178,1.27209,0.97847,1.08514,0.009736,0.009736,0.009736
10,1447.25,1.25352,0.95302,1.17476,0.49397,0.52487,0.5072,0.32145,1.23291,0.91467,1.07283,0.009703,0.009703,0.009703
11,1591.11,1.23709,0.93235,1.1635,0.42259,0.57679,0.48176,0.29594,1.24242,0.93776,1.07283,0.00967,0.00967,0.00967
12,1734.88,1.216,0.91293,1.15321,0.46734,0.5516,0.50365,0.31144,1.223,0.89662,1.07157,0.009637,0.009637,0.009637
13,1878.41,1.20497,0.9035,1.15421,0.50195,0.55376,0.53389,0.33739,1.22375,0.92916,1.0534,0.009604,0.009604,0.009604
14,2022.15,1.19936,0.89762,1.1515,0.50956,0.55997,0.5215,0.33238,1.23779,0.89771,1.06678,0.009571,0.009571,0.009571
15,2165.65,1.18393,0.88363,1.14125,0.44672,0.61031,0.52233,0.32881,1.24098,0.91795,1.06473,0.009538,0.009538,0.009538
16,2309.1,1.17575,0.87231,1.13805,0.53967,0.49871,0.52308,0.33668,1.21909,0.88625,1.06152,0.009505,0.009505,0.009505
17,2452.7,1.15817,0.861,1.13106,0.4932,0.58323,0.5283,0.34328,1.18135,0.8785,1.0539,0.009472,0.009472,0.009472
18,2596.22,1.15574,0.85855,1.12923,0.54856,0.56997,0.5291,0.34001,1.17423,0.89713,1.05473,0.009439,0.009439,0.009439
19,2739.89,1.15141,0.85425,1.12386,0.47064,0.57163,0.51284,0.33448,1.19665,0.87512,1.05506,0.009406,0.009406,0.009406
20,2883.44,1.14567,0.84118,1.12124,0.48493,0.58357,0.52007,0.33404,1.19398,0.85942,1.0591,0.009373,0.009373,0.009373
21,3026.61,1.13615,0.83561,1.12017,0.52788,0.53561,0.54556,0.3531,1.21624,0.85176,1.05775,0.00934,0.00934,0.00934
22,3170.17,1.13008,0.83141,1.12076,0.51883,0.57133,0.53849,0.35063,1.19401,0.85411,1.05083,0.009307,0.009307,0.009307
23,3313.6,1.12139,0.82379,1.11279,0.51703,0.55574,0.51763,0.33506,1.16185,0.85923,1.04767,0.009274,0.009274,0.009274
24,3456.88,1.12398,0.81683,1.11056,0.5559,0.54361,0.53434,0.34772,1.15708,0.84536,1.03975,0.009241,0.009241,0.009241
25,3600.21,1.10803,0.80595,1.10356,0.48099,0.60417,0.54186,0.35723,1.14336,0.8391,1.03948,0.009208,0.009208,0.009208
26,3743.73,1.10231,0.80211,1.10296,0.54188,0.55127,0.5343,0.3471,1.15906,0.85002,1.04414,0.009175,0.009175,0.009175
27,3887.02,1.09435,0.79054,1.09685,0.4826,0.61474,0.51839,0.34068,1.15902,0.85697,1.05065,0.009142,0.009142,0.009142
28,4030.68,1.08701,0.78258,1.09805,0.54117,0.56797,0.55265,0.35986,1.17888,0.85203,1.05489,0.009109,0.009109,0.009109
29,4174.19,1.08455,0.78527,1.09363,0.53687,0.53557,0.51897,0.34311,1.12269,0.83132,1.03091,0.009076,0.009076,0.009076
30,4317.38,1.08347,0.77607,1.09504,0.52017,0.56523,0.54648,0.3494,1.17769,0.84817,1.04583,0.009043,0.009043,0.009043
31,4460.79,1.07473,0.76965,1.08778,0.5582,0.54442,0.54506,0.36437,1.12226,0.82569,1.02823,0.00901,0.00901,0.00901
32,4604.24,1.07391,0.76871,1.08772,0.49695,0.58627,0.5338,0.35367,1.13665,0.81972,1.03414,0.008977,0.008977,0.008977
33,4747.57,1.06642,0.76122,1.08173,0.50285,0.5827,0.55103,0.36413,1.14935,0.82585,1.03828,0.008944,0.008944,0.008944
34,4890.68,1.05419,0.74957,1.08037,0.56346,0.53133,0.56169,0.37259,1.14376,0.82684,1.03858,0.008911,0.008911,0.008911
35,5034.02,1.05262,0.7495,1.08135,0.50974,0.59176,0.55014,0.36184,1.13597,0.83179,1.03708,0.008878,0.008878,0.008878
