epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.021,1.73574,1.83418,1.52803,0.33049,0.45372,0.37856,0.18392,1.72909,1.1016,1.19238,0.07008,0.00332444,0.00332444
2,315.568,1.44016,1.14497,1.24844,0.38098,0.47055,0.41948,0.22411,1.62197,1.08639,1.15038,0.040058,0.00663581,0.00663581
3,457.721,1.44725,1.14039,1.24416,0.40937,0.44736,0.4095,0.22848,1.52096,1.30173,1.13792,0.0100141,0.00992517,0.00992517
4,599.11,1.44194,1.13385,1.24434,0.41664,0.52185,0.45051,0.25577,1.43867,1.03519,1.12365,0.009901,0.009901,0.009901
5,740.081,1.38679,1.07579,1.22466,0.45438,0.47457,0.45457,0.27576,1.33641,1.00537,1.09369,0.009868,0.009868,0.009868
6,881.494,1.34825,1.03326,1.20679,0.45924,0.48304,0.4767,0.29692,1.28535,1.01342,1.08305,0.009835,0.009835,0.009835
7,1022.73,1.3294,1.01576,1.19827,0.46699,0.46679,0.46603,0.28189,1.33314,1.05179,1.09292,0.009802,0.009802,0.009802
8,1163.77,1.29694,0.98983,1.18615,0.43128,0.50849,0.45905,0.29057,1.26148,0.93624,1.08178,0.009769,0.009769,0.009769
9,1304.79,1.27867,0.97425,1.17875,0.44329,0.54173,0.49448,0.30666,1.25029,0.92612,1.08169,0.009736,0.009736,0.009736
10,1445.88,1.25903,0.95534,1.17381,0.4987,0.52868,0.51637,0.32606,1.24753,0.97748,1.08016,0.009703,0.009703,0.009703
11,1587.05,1.24506,0.9451,1.1674,0.47075,0.5644,0.49768,0.3209,1.231,0.9298,1.06607,0.00967,0.00967,0.00967
12,1729.36,1.22678,0.92211,1.15514,0.52043,0.57622,0.54672,0.34168,1.23616,0.9042,1.06233,0.009637,0.009637,0.009637
13,1870.75,1.21831,0.91974,1.15312,0.52074,0.48823,0.47431,0.29696,1.22971,0.91495,1.06276,0.009604,0.009604,0.009604
14,2011.55,1.21108,0.90851,1.15153,0.5049,0.5709,0.51605,0.33132,1.19426,0.89875,1.05943,0.009571,0.009571,0.009571
15,2153.18,1.19234,0.89368,1.14131,0.47072,0.58357,0.50714,0.32098,1.19062,0.8834,1.05848,0.009538,0.009538,0.009538
16,2294.1,1.18636,0.88596,1.13948,0.5421,0.53049,0.53055,0.34455,1.20309,0.90055,1.06415,0.009505,0.009505,0.009505
17,2435.29,1.18098,0.88119,1.13689,0.52124,0.51526,0.51251,0.33045,1.20712,0.88895,1.06136,0.009472,0.009472,0.009472
18,2576.37,1.17874,0.87965,1.13547,0.4796,0.61235,0.53575,0.34624,1.23257,0.88805,1.05334,0.009439,0.009439,0.009439
19,2717.75,1.16529,0.87385,1.13291,0.51207,0.56715,0.51329,0.34214,1.1426,0.85523,1.04477,0.009406,0.009406,0.009406
20,2858.92,1.15252,0.85376,1.12419,0.53727,0.60486,0.57953,0.37995,1.16691,0.85234,1.0506,0.009373,0.009373,0.009373
21,3000.14,1.14927,0.85097,1.12366,0.50359,0.61347,0.55767,0.36675,1.17973,0.84596,1.04319,0.00934,0.00934,0.00934
22,3141.3,1.1406,0.84176,1.11818,0.55849,0.59406,0.57264,0.3769,1.1372,0.84743,1.04407,0.009307,0.009307,0.009307
23,3282.32,1.13605,0.83979,1.11739,0.52668,0.58006,0.54204,0.35268,1.16193,0.86106,1.05117,0.009274,0.009274,0.009274
24,3423.4,1.13143,0.83607,1.11645,0.47673,0.59681,0.54289,0.35472,1.15176,0.85284,1.05109,0.009241,0.009241,0.009241
25,3564.41,1.12305,0.82206,1.10822,0.51674,0.52837,0.55214,0.35984,1.1703,0.84405,1.04612,0.009208,0.009208,0.009208
26,3705.34,1.11485,0.81551,1.10451,0.5622,0.5543,0.53303,0.35274,1.15389,0.84336,1.04263,0.009175,0.009175,0.009175
27,3846.28,1.10807,0.81023,1.10429,0.50489,0.57014,0.52798,0.34688,1.13901,0.84386,1.04256,0.009142,0.009142,0.009142
28,3987,1.10046,0.8077,1.10139,0.53326,0.61767,0.56491,0.37363,1.1539,0.85163,1.04817,0.009109,0.009109,0.009109
29,4127.99,1.10142,0.8013,1.09768,0.57749,0.56674,0.55039,0.36282,1.1344,0.82563,1.03736,0.009076,0.009076,0.009076
30,4268.87,1.09709,0.79836,1.09842,0.53766,0.60419,0.54159,0.36273,1.14583,0.8348,1.0401,0.009043,0.009043,0.009043
31,4409.9,1.09188,0.79111,1.09553,0.57268,0.52578,0.55849,0.37109,1.13466,0.83345,1.04236,0.00901,0.00901,0.00901
32,4550.75,1.09037,0.79068,1.0965,0.57283,0.55411,0.56958,0.38072,1.14467,0.83907,1.04715,0.008977,0.008977,0.008977
33,4691.7,1.08786,0.78218,1.09078,0.50881,0.6255,0.53042,0.35103,1.12641,0.83328,1.04255,0.008944,0.008944,0.008944
34,4832.82,1.08186,0.77913,1.0871,0.5347,0.58267,0.5421,0.36218,1.12965,0.82084,1.03631,0.008911,0.008911,0.008911
35,4973.7,1.07204,0.77056,1.08599,0.53343,0.59675,0.56395,0.37545,1.13736,0.82323,1.03472,0.008878,0.008878,0.008878
36,5114.73,1.07386,0.76943,1.08695,0.5485,0.57624,0.56889,0.38445,1.13392,0.81713,1.03419,0.008845,0.008845,0.008845
37,5255.89,1.06711,0.76595,1.08229,0.55389,0.53383,0.52563,0.3531,1.13782,0.83112,1.03848,0.008812,0.008812,0.008812
38,5396.64,1.06123,0.75739,1.07723,0.52773,0.56143,0.54475,0.36852,1.11127,0.80802,1.02477,0.008779,0.008779,0.008779
39,5537.65,1.06019,0.75673,1.07875,0.53577,0.59747,0.56552,0.38445,1.12935,0.82163,1.03754,0.008746,0.008746,0.008746
40,5678.53,1.05212,0.75173,1.07514,0.5073,0.59968,0.56246,0.37553,1.13492,0.8307,1.04035,0.008713,0.008713,0.008713
41,5819.7,1.04947,0.74462,1.07426,0.56253,0.54628,0.54365,0.36448,1.11164,0.80796,1.03022,0.00868,0.00868,0.00868
42,5960.9,1.05237,0.7452,1.07228,0.51234,0.55635,0.53076,0.35371,1.11366,0.81485,1.03165,0.008647,0.008647,0.008647
