epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9122,1.9518,2.77236,1.60587,0.56333,0.14807,0.13456,0.05678,1.81829,1.79985,1.38657,0.0701478,0.00331691,0.00331691
2,103.383,1.67164,1.65468,1.40926,0.72412,0.18551,0.1625,0.07912,1.59747,1.55476,1.24977,0.0401258,0.0066283,0.0066283
3,135.285,1.6094,1.50934,1.36244,0.69776,0.21355,0.20616,0.11257,1.48333,1.39323,1.16524,0.0100819,0.00991769,0.00991769
4,166.917,1.56744,1.41576,1.31464,0.7594,0.20609,0.20469,0.09236,1.87479,1.56196,1.35539,0.009901,0.009901,0.009901
5,198.332,1.54624,1.38091,1.30364,0.58558,0.25004,0.22791,0.11801,1.51489,1.25859,1.17456,0.009868,0.009868,0.009868
6,229.564,1.51604,1.34071,1.28376,0.72601,0.25566,0.23145,0.12483,1.46097,1.23848,1.13427,0.009835,0.009835,0.009835
7,260.423,1.48875,1.28822,1.26807,0.59082,0.30867,0.25851,0.14038,1.44874,1.18358,1.12958,0.009802,0.009802,0.009802
8,291.145,1.46645,1.2677,1.25858,0.73829,0.30938,0.25319,0.14133,1.38642,1.21728,1.11232,0.009769,0.009769,0.009769
9,322.642,1.46118,1.25497,1.25448,0.51024,0.27141,0.2595,0.14304,1.38309,1.21252,1.11354,0.009736,0.009736,0.009736
10,353.556,1.44264,1.22512,1.24594,0.75306,0.30731,0.27311,0.1503,1.39494,1.1191,1.11077,0.009703,0.009703,0.009703
11,384.567,1.43597,1.21611,1.24268,0.77259,0.27301,0.27732,0.15924,1.32474,1.11171,1.10536,0.00967,0.00967,0.00967
12,415.882,1.42876,1.20264,1.23531,0.73753,0.28219,0.29448,0.16837,1.37832,1.08794,1.10427,0.009637,0.009637,0.009637
13,447.164,1.41026,1.1886,1.2298,0.62782,0.30187,0.28767,0.16783,1.28897,1.133,1.08962,0.009604,0.009604,0.009604
14,478.153,1.39575,1.16939,1.22341,0.55169,0.2779,0.26817,0.15304,1.34461,1.12822,1.0943,0.009571,0.009571,0.009571
15,509.019,1.39438,1.1695,1.22209,0.54159,0.28196,0.26614,0.14376,1.41205,1.10259,1.10385,0.009538,0.009538,0.009538
16,540.135,1.37287,1.15056,1.21698,0.49568,0.2948,0.27343,0.1563,1.37408,1.07366,1.09522,0.009505,0.009505,0.009505
17,571.056,1.37324,1.13983,1.21189,0.54275,0.30398,0.26713,0.15238,1.33219,1.12857,1.09319,0.009472,0.009472,0.009472
18,601.714,1.36533,1.13046,1.21044,0.57248,0.31374,0.29555,0.17019,1.32612,1.05732,1.09152,0.009439,0.009439,0.009439
19,632.596,1.34888,1.11865,1.2033,0.48835,0.31187,0.28841,0.16951,1.30972,1.04643,1.08154,0.009406,0.009406,0.009406
20,663.407,1.35161,1.11537,1.2038,0.57231,0.28421,0.28302,0.15975,1.40438,1.08781,1.11127,0.009373,0.009373,0.009373
21,694.206,1.35076,1.11361,1.20162,0.50537,0.33938,0.30809,0.18022,1.3013,1.05268,1.07945,0.00934,0.00934,0.00934
22,725.013,1.33326,1.09313,1.19772,0.50162,0.31857,0.33232,0.19492,1.28533,1.01866,1.07323,0.009307,0.009307,0.009307
23,756.249,1.33661,1.10101,1.19929,0.52153,0.32721,0.32301,0.18912,1.29125,1.02933,1.07572,0.009274,0.009274,0.009274
24,787.334,1.32499,1.08442,1.18946,0.54528,0.33333,0.34664,0.20297,1.27648,1.04975,1.06491,0.009241,0.009241,0.009241
25,818.483,1.31926,1.08123,1.19068,0.50951,0.36083,0.34979,0.2092,1.27381,1.01665,1.06951,0.009208,0.009208,0.009208
26,854.487,1.32473,1.08577,1.19661,0.51893,0.34082,0.35227,0.20653,1.30916,1.02945,1.0776,0.009175,0.009175,0.009175
